,nepoch,dropout,nsample_0,nsample_1,mu0,mu1,sigma0,sigma1,corrMC,corrKNN,corrKDE,corrMahalanobis
0,50,0.5,2500,2500,0,1.0,1,1.0,-0.28381686925194194,-0.5103703992757331,0.6582762961227984,-0.5487082332036592
1,250,0.5,2500,2500,0,1.0,1,1.0,-0.6190029702235423,-0.5103703992757331,0.6582762961227984,-0.5487082332036592
2,500,0.5,2500,2500,0,1.0,1,1.0,-0.6665395033508904,-0.5103703992757331,0.6582762961227984,-0.5487082332036592
3,1000,0.5,2500,2500,0,1.0,1,1.0,-0.696477603767824,-0.5103703992757331,0.6582762961227984,-0.5487082332036592
4,1000,0.1,2500,2500,0,1.0,1,1.0,-0.21687505105557825,-0.5103703992757331,0.6582762961227984,-0.5487082332036592
5,1000,0.3,2500,2500,0,1.0,1,1.0,-0.49667430785524797,-0.5103703992757331,0.6582762961227984,-0.5487082332036592
6,1000,0.5,2500,2500,0,1.0,1,1.0,-0.696477603767824,-0.5103703992757331,0.6582762961227984,-0.5487082332036592
7,1000,0.7,2500,2500,0,1.0,1,1.0,-0.8228756972780877,-0.5103703992757331,0.6582762961227984,-0.5487082332036592
8,1000,0.5,100,100,0,1.0,1,1.0,-0.2786329535982218,-0.5813281467074188,0.6320088913587109,-0.514253959433176
9,1000,0.5,1000,1000,0,1.0,1,1.0,-0.48220189500526384,-0.49658165717126984,0.6063121286448018,-0.47385137180936615
10,1000,0.5,2500,2500,0,1.0,1,1.0,-0.696477603767824,-0.5103703992757331,0.6582762961227984,-0.5487082332036592
11,1000,0.5,5000,5000,0,1.0,1,1.0,-0.7616060308451145,-0.5290776436752936,0.6619735602192844,-0.5611982490220275
12,1000,0.5,500,4500,0,1.0,1,1.0,0.835398252177001,0.03433974148432955,-0.0316650131844503,-0.7324391273062789
13,1000,0.5,1000,4000,0,1.0,1,1.0,0.43569063630694954,-0.011724798099910267,0.016303285468126878,-0.6818450817089253
14,1000,0.5,2000,3000,0,1.0,1,1.0,-0.5022432774414567,-0.40401835911927075,0.4950942609307827,-0.74923641477174
15,1000,0.5,2500,2500,0,0.0,1,1.0,,,,
16,1000,0.5,2500,2500,0,0.5,1,1.0,-0.7423617166052074,-0.5209850742155887,0.6358405883735949,-0.5979242159663182
17,1000,0.5,2500,2500,0,1.0,1,1.0,-0.696477603767824,-0.5103703992757331,0.6582762961227984,-0.5487082332036592
18,1000,0.5,2500,2500,0,2.0,1,1.0,0.6709693684308305,-0.45144653664290524,0.6392137525394456,-0.42393854219490773
19,1000,0.5,2500,2500,0,4.0,1,1.0,0.8495719402541958,-0.08488789550573134,0.12263395317064586,-0.2644001317333919
20,1000,0.5,2500,2500,0,1.0,1,0.5,0.13677910079071148,-0.37033629259390777,0.4625043264463673,-0.4941888027505791
21,1000,0.5,2500,2500,0,1.0,1,1.0,-0.696477603767824,-0.5103703992757331,0.6582762961227984,-0.5487082332036592
22,1000,0.5,2500,2500,0,1.0,1,1.5,-0.39183773148343626,-0.4251475880655947,0.511357528603346,-0.39659838782150575
23,1000,0.5,2500,2500,0,1.0,1,2.0,-0.08339296861909717,-0.2998253848112822,0.3136600860711494,-0.2453394868175497
